,time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,prev_close,open,high,low,volume,amount,open_interest
19699,2023-09-14 14:04:13,IF2309,IF2309,3720.6,1.0,1116180.0,-1.0,3,3720.6,3720.8,4,3739.6,3740.0,3750.0,3717.4,48571.0,54425375880.0,53814
19700,2023-09-14 14:04:14,IF2309,IF2309,3720.8,3.0,3348660.0,-1.0,2,3720.6,3720.8,2,3739.6,3740.0,3750.0,3717.4,48574.0,54428724540.0,53813
19701,2023-09-14 14:04:14,IF2309,IF2309,3720.8,2.0,2232480.0,0.0,2,3720.6,3721.0,4,3739.6,3740.0,3750.0,3717.4,48576.0,54430957020.0,53813
19702,2023-09-14 14:04:15,IF2309,IF2309,3721.0,1.0,1116300.0,-1.0,2,3720.6,3721.0,2,3739.6,3740.0,3750.0,3717.4,48577.0,54432073320.0,53812
19703,2023-09-14 14:04:15,IF2309,IF2309,3721.0,2.0,2232600.0,-1.0,3,3721.0,3721.2,1,3739.6,3740.0,3750.0,3717.4,48579.0,54434305920.0,53811
19704,2023-09-14 14:04:16,IF2309,IF2309,3721.4,2.0,2232780.0,-1.0,4,3721.2,3721.4,5,3739.6,3740.0,3750.0,3717.4,48581.0,54436538700.0,53810
19705,2023-09-14 14:04:16,IF2309,IF2309,3721.4,5.0,5582100.0,0.0,1,3721.6,3721.8,7,3739.6,3740.0,3750.0,3717.4,48586.0,54442120800.0,53810
19706,2023-09-14 14:04:17,IF2309,IF2309,3721.8,3.0,3349620.0,3.0,3,3721.6,3721.8,4,3739.6,3740.0,3750.0,3717.4,48589.0,54445470420.0,53813
19707,2023-09-14 14:04:17,IF2309,IF2309,3721.8,4.0,4466160.0,4.0,2,3721.8,3722.0,6,3739.6,3740.0,3750.0,3717.4,48593.0,54449936580.0,53817
19708,2023-09-14 14:04:18,IF2309,IF2309,3722.0,3.0,3349800.0,-3.0,5,3721.8,3722.0,3,3739.6,3740.0,3750.0,3717.4,48596.0,54453286380.0,53814
19709,2023-09-14 14:04:19,IF2309,IF2309,3722.0,3.0,3349680.0,-2.0,3,3721.8,3722.0,2,3739.6,3740.0,3750.0,3717.4,48599.0,54456636060.0,53812
